account_id,business_date,opening_balance,closing_balance,available_balance,currency,source_system,load_timestamp
AC00001,2026-08-01,17984.78,14441.79,14441.79,INR,CORE_BANKING,2026-02-21 07:23:48
AC00001,2026-08-02,14441.79,2921.58,2921.58,INR,CORE_BANKING,2026-04-17 23:54:13
AC00001,2026-08-03,2921.58,2921.58,2921.58,INR,CORE_BANKING,2025-09-23 13:12:16
AC00001,2026-08-04,2921.58,84240.74,84240.74,INR,CORE_BANKING,2024-01-10 00:58:58
AC00001,2026-08-05,84240.74,150365.35,150365.35,INR,CORE_BANKING,2026-03-21 19:56:01
AC00001,2026-08-06,150365.35,7792.25,7792.25,INR,CORE_BANKING,2024-09-22 22:57:26
AC00001,2026-08-07,7792.25,7792.25,7792.25,INR,CORE_BANKING,2024-10-16 22:06:11
AC00001,2026-08-08,7792.25,9312.87,9312.87,INR,CORE_BANKING,2024-08-06 10:41:23
AC00001,2026-08-09,9312.87,6.43,6.43,INR,CORE_BANKING,2025-09-10 20:55:42
AC00001,2026-08-10,6.43,6024.16,6024.16,INR,CORE_BANKING,2026-06-09 18:49:29
AC00001,2026-08-11,6024.16,59130.34,59130.34,INR,CORE_BANKING,2025-08-23 18:01:09
AC00001,2026-08-12,59130.34,4622.30,4622.30,INR,CORE_BANKING,2024-03-15 09:12:36
AC00001,2026-08-13,4622.30,1943.70,1943.70,INR,CORE_BANKING,2025-12-29 04:01:21
AC00001,2026-08-14,1943.70,56296.31,56296.31,INR,CORE_BANKING,2024-04-21 08:40:25
AC00001,2026-08-15,56296.31,95281.09,95281.09,INR,CORE_BANKING,2024-01-01 03:31:51
AC00001,2026-08-16,95281.09,22472.24,22472.24,INR,CORE_BANKING,2025-05-12 12:35:52
AC00001,2026-08-17,22472.24,22472.24,22472.24,INR,CORE_BANKING,2024-05-17 00:57:20
AC00001,2026-08-18,22472.24,63169.43,63169.43,INR,CORE_BANKING,2026-02-21 10:36:57
AC00001,2026-08-19,63169.43,63169.43,63169.43,INR,CORE_BANKING,2024-09-25 20:04:43
AC00001,2026-08-20,63169.43,81684.87,81684.87,INR,CORE_BANKING,2025-12-05 11:00:19
AC00001,2026-08-21,81684.87,57589.83,57589.83,INR,CORE_BANKING,2025-01-02 00:45:47
AC00001,2026-08-22,57589.83,57589.83,57589.83,INR,CORE_BANKING,2025-12-06 15:47:42
