gl_control_id,business_date,gl_account_code,product_type,currency,control_total,transaction_count,source_system,load_timestamp
GL001,2026-08-01,DEP-100,DEPOSIT,INR,970469106.40,5018,GENERAL_LEDGER,2025-11-21 09:53:22
GL002,2026-08-02,DEP-100,DEPOSIT,INR,942357821.43,5231,GENERAL_LEDGER,2026-06-11 01:27:36
GL003,2026-08-03,DEP-100,DEPOSIT,INR,919349512.11,5018,GENERAL_LEDGER,2025-03-26 15:37:02
GL004,2026-08-04,DEP-100,DEPOSIT,INR,910244801.00,4930,GENERAL_LEDGER,2024-04-06 03:34:09
GL005,2026-08-05,DEP-100,DEPOSIT,INR,897143035.61,4986,GENERAL_LEDGER,2025-09-13 02:25:13
GL006,2026-08-06,DEP-100,DEPOSIT,INR,887577112.58,5061,GENERAL_LEDGER,2024-05-11 12:31:01
GL007,2026-08-07,DEP-100,DEPOSIT,INR,878302340.56,4926,GENERAL_LEDGER,2025-08-28 23:38:10
GL008,2026-08-08,DEP-100,DEPOSIT,INR,874119198.37,4967,GENERAL_LEDGER,2024-03-25 15:56:17
GL009,2026-08-09,DEP-100,DEPOSIT,INR,865962181.68,5020,GENERAL_LEDGER,2025-01-02 01:01:09
GL010,2026-08-10,DEP-100,DEPOSIT,INR,859693699.96,5049,GENERAL_LEDGER,2024-06-18 18:09:49
GL011,2026-08-11,DEP-100,DEPOSIT,INR,857830097.15,5018,GENERAL_LEDGER,2024-12-08 14:01:24
GL012,2026-08-12,DEP-100,DEPOSIT,INR,853825845.57,5261,GENERAL_LEDGER,2026-04-21 18:16:57
GL013,2026-08-13,DEP-100,DEPOSIT,INR,851192442.10,4962,GENERAL_LEDGER,2024-12-06 16:45:31
GL014,2026-08-14,DEP-100,DEPOSIT,INR,852510022.88,4946,GENERAL_LEDGER,2026-04-10 17:34:28
GL015,2026-08-15,DEP-100,DEPOSIT,INR,847709236.13,4819,GENERAL_LEDGER,2026-05-10 09:23:34
GL016,2026-08-16,DEP-100,DEPOSIT,INR,844679948.34,5034,GENERAL_LEDGER,2026-01-05 02:54:22
GL017,2026-08-17,DEP-100,DEPOSIT,INR,839224252.32,5082,GENERAL_LEDGER,2025-06-02 15:35:51
GL018,2026-08-18,DEP-100,DEPOSIT,INR,836030190.38,5008,GENERAL_LEDGER,2025-07-06 23:16:25
GL019,2026-08-19,DEP-100,DEPOSIT,INR,835155243.19,4880,GENERAL_LEDGER,2024-03-06 16:39:28
GL020,2026-08-20,DEP-100,DEPOSIT,INR,836236993.80,5104,GENERAL_LEDGER,2025-03-31 23:48:27
GL021,2026-08-21,DEP-100,DEPOSIT,INR,837366608.96,5022,GENERAL_LEDGER,2026-05-17 04:25:01
GL022,2026-08-22,DEP-100,DEPOSIT,INR,837387499.59,4953,GENERAL_LEDGER,2025-05-04 22:20:48
GL023,2026-08-23,DEP-100,DEPOSIT,INR,837579689.34,4927,GENERAL_LEDGER,2024-12-30 17:28:24
GL024,2026-08-24,DEP-100,DEPOSIT,INR,835512756.36,5029,GENERAL_LEDGER,2024-06-02 16:49:02
GL025,2026-08-25,DEP-100,DEPOSIT,INR,834395311.66,4879,GENERAL_LEDGER,2025-12-24 23:20:49
GL026,2026-08-26,DEP-100,DEPOSIT,INR,832266324.92,4988,GENERAL_LEDGER,2024-12-07 18:35:20
GL027,2026-08-27,DEP-100,DEPOSIT,INR,830012817.47,4891,GENERAL_LEDGER,2024-06-02 00:47:09
GL028,2026-08-28,DEP-100,DEPOSIT,INR,832394863.28,5001,GENERAL_LEDGER,2024-07-12 08:05:21
GL029,2026-08-29,DEP-100,DEPOSIT,INR,831596035.85,4901,GENERAL_LEDGER,2026-02-12 09:45:39
GL030,2026-08-30,DEP-100,DEPOSIT,INR,830584143.72,5089,GENERAL_LEDGER,2024-03-11 02:30:21
