loan_id,loan_number,customer_id,product_id,branch_id,officer_id,loan_type,loan_amount,outstanding_amount,interest_rate,tenure_months,start_date,maturity_date,credit_grade,loan_status
LN00001,LN4091000001,CU04080,PR014,BR008,OF0082,HOME_LOAN,3710450.48,1990757.70,15.17,240,2022-07-31,2042-07-31,B,DEFAULTED
LN00002,LN6082000002,CU03127,PR010,BR005,OF0040,PERSONAL_LOAN,287844.29,232179.45,10.98,36,2021-11-24,2024-11-24,C,ACTIVE
LN00003,LN2164000003,CU01594,PR010,BR004,OF0022,PERSONAL_LOAN,2375549.42,465289.43,9.35,36,2020-01-26,2023-01-26,B,CLOSED
LN00004,LN4670000004,CU03964,PR013,BR010,OF0088,HOME_LOAN,661965.78,118313.63,15.84,120,2020-10-18,2030-10-18,B,ACTIVE
LN00005,LN7514000005,CU01681,PR014,BR009,OF0052,HOME_LOAN,1435769.34,403037.77,14.89,12,2018-08-23,2019-08-23,A,ACTIVE
LN00006,LN6367000006,CU00668,PR013,BR010,OF0014,HOME_LOAN,3887383.65,1891754.85,10.04,36,2022-07-01,2025-07-01,B,ACTIVE
LN00007,LN7305000007,CU01808,PR014,BR001,OF0074,HOME_LOAN,2342641.17,1195604.77,11.31,36,2023-06-21,2026-06-21,B,ACTIVE
LN00008,LN2141000008,CU03658,PR011,BR001,OF0019,PERSONAL_LOAN,2299363.93,363600.52,8.31,120,2020-01-04,2030-01-04,B,ACTIVE
LN00009,LN8333000009,CU02856,PR011,BR003,OF0053,PERSONAL_LOAN,292153.04,142778.25,9.27,120,2020-07-25,2030-07-25,A,DEFAULTED
LN00010,LN7264000010,CU02210,PR011,BR002,OF0073,PERSONAL_LOAN,2928742.37,2623127.52,10.48,240,2020-11-08,2040-11-08,B,DEFAULTED
LN00011,LN9317000011,CU03505,PR015,BR003,OF0044,HOME_LOAN,3830912.82,2146505.57,11.82,60,2020-02-18,2025-02-18,B,ACTIVE
LN00012,LN6535000012,CU04185,PR010,BR001,OF0031,PERSONAL_LOAN,4911310.41,4198945.82,8.04,240,2024-10-21,2044-10-21,B,CLOSED
LN00013,LN3428000013,CU00386,PR014,BR003,OF0043,HOME_LOAN,4378790.52,3178673.05,11.90,12,2022-07-03,2023-07-03,A,ACTIVE
LN00014,LN2023000014,CU04277,PR013,BR004,OF0084,HOME_LOAN,3789520.62,3265773.58,14.89,12,2018-11-14,2019-11-14,A,DEFAULTED
LN00015,LN3673000015,CU01157,PR013,BR007,OF0023,HOME_LOAN,4254856.59,3147291.30,10.22,120,2020-08-13,2030-08-13,D,CLOSED
LN00016,LN5202000016,CU02757,PR014,BR006,OF0048,HOME_LOAN,4658939.05,1880905.87,7.05,24,2024-06-09,2026-06-09,A,CLOSED
