product_id,product_code,product_name,product_type,currency,interest_rate,min_balance,product_status
PR001,PCSA01,Regular Savings,SAVINGS,INR,3.61,1418.81,ACTIVE
PR002,PCSA02,Premium Savings,SAVINGS,INR,12.67,6235.40,ACTIVE
PR003,PCSA03,Youth Savings,SAVINGS,INR,12.19,7432.45,ACTIVE
PR004,PCCU04,Business Current,CURRENT,INR,8.93,9744.60,ACTIVE
PR005,PCCU05,Retail Current,CURRENT,INR,7.04,5744.39,ACTIVE
PR006,PCCU06,Corporate Current,CURRENT,INR,12.45,6375.94,ACTIVE
PR007,PCFI07,Short Term FD,FIXED_DEPOSIT,INR,12.84,5984.85,ACTIVE
PR008,PCFI08,Medium Term FD,FIXED_DEPOSIT,INR,10.95,935.33,ACTIVE
PR009,PCFI09,Long Term FD,FIXED_DEPOSIT,INR,5.23,3249.19,ACTIVE
PR010,PCPE10,Personal Flexi Loan,PERSONAL_LOAN,INR,3.46,2711.51,ACTIVE
PR011,PCPE11,Personal Term Loan,PERSONAL_LOAN,INR,3.71,3140.75,ACTIVE
PR012,PCPE12,Personal Quick Loan,PERSONAL_LOAN,INR,10.13,3965.91,ACTIVE
PR013,PCHO13,Home Purchase Loan,HOME_LOAN,INR,6.94,2490.32,ACTIVE
PR014,PCHO14,Home Construction Loan,HOME_LOAN,INR,5.70,9398.22,ACTIVE
PR015,PCHO15,Home Renovation Loan,HOME_LOAN,INR,10.28,6286.74,ACTIVE
